id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
patch-2.7.6:gettime_prep:gettime;12.0;2.0;296.337;100.689;16.0;2.0;337.59701265360627;95.35042754739503;0;0.0;1
libxml2:xmlwriter_prep:xmlTextWriterWriteVFormatString;15.0;4.0;470.649;94.2082;14.0;4.0;351.86167516009664;96.83843298386549;0;0.0;3
libxml2:relaxng_prep:xmlRelaxNGValidatePopElement;22.0;6.0;898.518;84.1812;11.0;2.0;287.34338600243876;102.25857114981739;1;4.0;3
tmux:vis_prep:strvis;10.0;2.0;294.032;103.683;15.0;2.0;431.87862564904935;95.11523487610992;1;10.0;3
libxml2:xpath_prep:xmlXPathRegisterFunc;5.0;1.0;155.589;118.452;5.0;1.0;120.92782504182705;119.76209764064455;1;1.0;2
json.h:allow_leading_plus_sign_prep:json_write_minified;26.0;6.0;666.458;83.0286;26.0;6.0;743.7460374570201;82.4579980129568;1;1.0;5
hello-2.12.1:xstriconv_prep:xstr_iconv;8.0;3.0;287.919;107.177;7.0;3.0;245.1751010249378;110.1759977879845;0;0.0;3
transcoder-set:NUMBER_INDEXES_EQUAL_ELEMENTS_GIVEN_RANGE_prep:f_gold;7.0;3.0;280.538;109.475;9.0;3.0;272.04693572714405;105.56389387915728;0;0.0;5
nano-7.2:text_prep:update_multiline_undo;20.0;3.0;944.599;86.1552;19.0;3.0;984.556697554162;86.7706928070629;0;0.0;3
nettle-3.9.1:salsa20r12-crypt_prep:nettle_salsa20r12_crypt;10.0;2.0;189.99;105.954;6.0;2.0;168.55519570060713;114.85172760970895;0;0.0;4
transcoder-set:CHECK_POSSIBLE_TRANSFORM_ONE_STRING_ANOTHER_prep:main;15.0;3.0;844.079;91.4007;15.0;3.0;805.6842503028855;91.64278877504901;1;1.0;3
libxml2:parserInternals_prep:xmlGetActualEncoding;13.0;6.0;655.771;94.3416;14.0;8.0;665.5433963324773;92.6041312697534;1;3.0;2
binn-3.0:binn_prep:binn_get_write_storage;13.0;4.0;246.124;99.8975;11.0;4.0;245.34452978042594;102.62024655376737;0;0.0;2
libxml2:xmlschemastypes_prep:xmlSchemaValidateFacetWhtsp;11.0;1.0;194.513;104.517;3.0;1.0;161.42124551085624;126.53559054845994;0;0.0;3
cpio-2.14:util_prep:disk_buffered_write;22.0;4.0;462.959;88.0894;21.0;4.0;522.1624251456735;88.2172472752998;1;12.0;4
libxml2:libxml2-py_prep:libxml_xmlTextReaderExpand;13.0;3.0;650.743;95.0716;19.0;2.0;447.6967300300298;91.09868501880031;1;1.0;3
tmux:xmalloc_prep:xmalloc;12.0;3.0;288.853;100.592;12.0;3.0;338.57545109698776;99.76582805085599;0;0.0;1
transcoder-set:PRIME_NUMBERS_prep:sort;1.0;1.0;110.361;146.31;5.0;1.0;156.0801066523054;118.4351850444769;1;1.0;2
rcs-5.10.1:b-peer_prep:one_beyond_last_dir_sep;8.0;2.0;173.918;110.028;10.0;2.0;178.8135375281251;106.2691349132836;1;5.0;1
json.h:allow_multi_line_strings_prep:json_extract_get_string_size;7.0;1.0;183.399;112.146;7.0;1.0;133.78294855911892;113.78591834631499;0;0.0;2
json.h:allow_single_quoted_strings_prep:json_get_array_size;49.0;11.0;1491.59;67.423;49.0;11.0;1607.3565292125909;67.03431092410764;0;0.0;3
nettle-3.9.1:eddsa-expand_prep:_nettle_eddsa_expand_key;16.0;1.0;752.384;91.4132;20.0;2.0;742.7695748225495;87.63513065212531;1;7.0;6
