id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
libxml2:libxml2-py_prep:libxml_xmlSetListDoc;16.0;4.0;949.048;89.5157;22.0;6.0;656.5804751831737;85.81247686000441;1;9.0;2
transcoder-set:COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS_prep:f_gold;7.0;4.0;291.427;109.047;9.0;4.0;310.9107836881646;104.6395306375098;0;0.0;2
libxml2:tree_prep:xmlNodeBufGetContent;13.0;5.0;510.282;95.876;15.0;5.0;374.064536624823;95.17255937233185;0;0.0;2
transcoder-set:SUBSET_SUM_PROBLEM_OSUM_SPACE_prep:max;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
transcoder-set:HARDY_RAMANUJAN_THEOREM_prep:f_gold;17.0;7.0;474.744;91.4455;21.0;7.0;485.542847127818;87.90534531415304;0;0.0;3
dap-3.10:dapruns_prep:argcpy;11.0;2.0;280.538;102.383;12.0;2.0;346.7937417270812;99.87111523877013;1;7.0;2
json-c:json_util_prep:json_object_from_fd;4.0;1.0;76.0;125.792;3.0;1.0;60.91767875292167;131.60295911826282;0;0.0;1
gprolog-1.5.0:wam_inst_prep:Pl_Defeasible_Undo;5.0;1.0;58.8103;123.511;3.0;1.0;39.86313713864835;133.808130442365;0;0.0;0
transcoder-set:FAST_MULTIPLICATION_METHOD_WITHOUT_USING_MULTIPLICATION_OPERATOR_RUSSIAN_PEASANTS_ALGORITHM_prep:main;15.0;3.0;790.14;91.7441;13.0;3.0;633.2231290912507;95.21354156495624;0;0.0;3
transcoder-set:N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_1_prep:f_filled;1.0;1.0;22.4588;154.589;4.0;1.0;31.69925001442312;130.33930763674556;0;0.0;1
less-633:output_prep:flush;10.0;3.0;229.248;104.747;13.0;3.0;236.83666567851094;100.32749261731925;1;6.0;0
libxml2:xmlIO_prep:xmlOutputBufferWriteString;11.0;5.0;437.218;99.3858;14.0;5.0;346.1295543881475;96.6938429341964;0;0.0;2
tmux:cmd-find_prep:cmd_find_empty_state;7.0;5.0;316.649;108.386;8.0;5.0;195.98647506778866;108.71720963390098;1;3.0;1
genann:genann_prep:genann_read;22.0;6.0;988.157;83.6867;28.0;5.0;949.0478664090618;80.21989890731093;1;16.0;5
tmux:key-bindings_prep:key_tables_RB_INSERT;1.0;8.0;1247.35;132.09;37.0;8.0;978.6124591555399;74.85522412115628;0;0.0;4
nettle-3.9.1:camellia-invert-key_prep:_nettle_camellia_invert_key;12.0;5.0;594.504;96.3783;20.0;4.0;532.5474002423084;88.9052432459852;0;0.0;4
json.h:allow_global_object_prep:json_value_as_string;6.0;2.0;158.123;115.184;6.0;2.0;151.26748332105768;115.41443824983816;1;1.0;1
nettle-3.9.1:buffer_prep:nettle_buffer_init_realloc;11.0;1.0;240.809;103.407;9.0;1.0;237.70604521880495;106.72558085502202;1;5.0;2
transcoder-set:UNBOUNDED_KNAPSACK_REPETITION_ITEMS_ALLOWED_prep:f_gold;11.0;4.0;575.0;98.1914;13.0;4.0;556.28031642502;95.6572042752687;0;0.0;5
libosip2-5.3.1:osip_via_prep:osip_message_set_via;17.0;5.0;565.538;90.9955;21.0;5.0;523.1868677283866;87.97705526929414;1;9.0;3
uucp-1.07:app4_prep:zsappend4;27.0;3.0;1104.65;80.4796;22.0;3.0;1000.2150462007585;84.31366668486365;1;7.0;4
qsort:qsort_prep:quickSort;8.0;2.0;258.647;107.965;7.0;2.0;227.43101255050217;110.79665144079169;0;0.0;3
tmux:xmalloc_prep:xrealloc;5.0;1.0;89.8585;121.306;3.0;1.0;100.0;129.02559595643854;0;0.0;2
